group,rank,gene,score,p_value,p_value_adj_BH,mean_logcounts_group,mean_logcounts_rest,mean_log2_expression_difference,pct_cells_expressing_group,pct_cells_expressing_rest,n_cells_group,n_cells_rest,is_mitochondrial,is_ribosomal
Innate lymphoid cell,23,CLIC3,208.30035710815403,0.0,0.0,1.3525923312945405,0.1596387251776965,1.7210682515553763,63.957676722197206,10.856817300141868,39978,533591,False,False
Innate lymphoid cell,24,B2M,205.15387521784456,0.0,0.0,5.221319047666462,4.817986594164638,0.5818857304966604,99.99499724848668,99.98238351096629,39978,533591,False,False
Innate lymphoid cell,25,SPON2,201.86043893975727,0.0,0.0,1.423486251927386,0.0993988507420975,1.9102543273935717,58.614738105958274,6.9403344509184,39978,533591,False,False
Innate lymphoid cell,26,PLAC8,199.32752308816137,0.0,0.0,1.5183097914784591,0.4872472988306992,1.4875087449895366,74.24333383360849,33.00542925199263,39978,533591,False,False
Innate lymphoid cell,27,MATK,196.91523356498075,0.0,0.0,1.1868952435200455,0.2332125488182623,1.375873294227886,64.86317474611036,16.276698819882643,39978,533591,False,False
Innate lymphoid cell,28,IL2RB,195.29955449274252,0.0,0.0,1.1520352688602096,0.1734181143824033,1.411846115694,61.8590224623543,12.899580390223973,39978,533591,False,False
Innate lymphoid cell,29,HLA-C,193.7178151250536,0.0,0.0,3.7203656222533006,3.0865521240875653,0.9143995906521925,99.45470008504678,98.30394440685843,39978,533591,False,False
Innate lymphoid cell,30,GZMH,191.1317129675422,0.0,0.0,1.570861224918559,0.293542818315467,1.8427809308424727,63.27730251638401,13.252472399272104,39978,533591,False,False
Innate lymphoid cell,31,CD63,190.88300607045483,0.0,0.0,1.5063642905665262,0.5570944513815573,1.3695068894576183,74.93871629396168,37.37150739049197,39978,533591,False,False
Innate lymphoid cell,32,CCL5,188.12320071486823,0.0,0.0,2.821865563133867,1.3076942036901458,2.184487511325557,80.75691630396719,45.26182038302745,39978,533591,False,False
Innate lymphoid cell,33,EFHD2,186.3961826138819,0.0,0.0,1.372947120799616,0.3715641628730368,1.4446902274313973,67.05187853319326,26.120755410042523,39978,533591,False,False
Innate lymphoid cell,34,ITGB2,179.2450923271123,0.0,0.0,1.9899116896659603,1.080504924743123,1.3119966299050527,85.75466506578618,62.216004392877686,39978,533591,False,False
Innate lymphoid cell,35,CCL4,169.49151484535233,0.0,0.0,1.5274113477786546,0.3395830071909064,1.7136740563933108,62.98714292861074,17.163707783677008,39978,533591,False,False
Innate lymphoid cell,36,CMC1,167.68137734617474,0.0,0.0,1.3678982238542376,0.3369699709734756,1.4873150779433986,61.73145229876432,21.46438002140216,39978,533591,False,False
Innate lymphoid cell,37,HLA-A,166.544153176986,0.0,0.0,3.560641510135031,3.0121624232976,0.7912880586116688,99.18955425484016,97.58429208888457,39978,533591,False,False
Innate lymphoid cell,38,PFN1,160.22825125547556,0.0,0.0,3.2143287140273964,2.5941899988132646,0.8946710491026811,98.35409475211368,94.89965160581794,39978,533591,False,False
Innate lymphoid cell,39,GZMM,159.27309337961722,0.0,0.0,1.5648821720112278,0.7168328614824434,1.2234765347291818,73.73055180349192,43.57869604247448,39978,533591,False,False
